"","dateTime","day_of_week","month","season"
"498",2015-05-13,"Wednesday",5,"summer"
"499",2015-05-14,"Thursday",5,"summer"
"500",2015-05-15,"Friday",5,"summer"
"501",2015-05-16,"Saturday",5,"summer"
"502",2015-05-17,"Sunday",5,"summer"
"503",2015-05-18,"Monday",5,"summer"
"504",2015-05-19,"Tuesday",5,"summer"
"505",2015-05-20,"Wednesday",5,"summer"
"506",2015-05-21,"Thursday",5,"summer"
"507",2015-05-22,"Friday",5,"summer"
"508",2015-05-23,"Saturday",5,"summer"
"509",2015-05-24,"Sunday",5,"summer"
"510",2015-05-25,"Monday",5,"summer"
"511",2015-05-26,"Tuesday",5,"summer"
"512",2015-05-27,"Wednesday",5,"summer"
"513",2015-05-28,"Thursday",5,"summer"
"514",2015-05-29,"Friday",5,"summer"
"515",2015-05-30,"Saturday",5,"summer"
"516",2015-05-31,"Sunday",5,"summer"
"517",2015-06-01,"Monday",6,"summer"
"518",2015-06-02,"Tuesday",6,"summer"
"519",2015-06-03,"Wednesday",6,"summer"
"520",2015-06-04,"Thursday",6,"summer"
"521",2015-06-05,"Friday",6,"summer"
"522",2015-06-06,"Saturday",6,"summer"
"523",2015-06-07,"Sunday",6,"summer"
"524",2015-06-08,"Monday",6,"summer"
"525",2015-06-09,"Tuesday",6,"summer"
"526",2015-06-10,"Wednesday",6,"summer"
"527",2015-06-11,"Thursday",6,"summer"
"528",2015-06-12,"Friday",6,"summer"
"529",2015-06-13,"Saturday",6,"summer"
"530",2015-06-14,"Sunday",6,"summer"
"531",2015-06-15,"Monday",6,"summer"
"532",2015-06-16,"Tuesday",6,"summer"
"533",2015-06-17,"Wednesday",6,"summer"
"534",2015-06-18,"Thursday",6,"summer"
"535",2015-06-19,"Friday",6,"summer"
"536",2015-06-20,"Saturday",6,"summer"
"537",2015-06-21,"Sunday",6,"summer"
"538",2015-06-22,"Monday",6,"summer"
"539",2015-06-23,"Tuesday",6,"summer"
"540",2015-06-24,"Wednesday",6,"summer"
"541",2015-06-25,"Thursday",6,"summer"
"542",2015-06-26,"Friday",6,"summer"
"543",2015-06-27,"Saturday",6,"summer"
"544",2015-06-28,"Sunday",6,"summer"
"545",2015-06-29,"Monday",6,"summer"
"546",2015-06-30,"Tuesday",6,"summer"
"547",2015-07-01,"Wednesday",7,"summer"
"548",2015-07-02,"Thursday",7,"summer"
"549",2015-07-03,"Friday",7,"summer"
"550",2015-07-04,"Saturday",7,"summer"
"551",2015-07-05,"Sunday",7,"summer"
"552",2015-07-06,"Monday",7,"summer"
"553",2015-07-07,"Tuesday",7,"summer"
"554",2015-07-08,"Wednesday",7,"summer"
"555",2015-07-09,"Thursday",7,"summer"
"556",2015-07-10,"Friday",7,"summer"
"557",2015-07-11,"Saturday",7,"summer"
"558",2015-07-12,"Sunday",7,"summer"
